token,count
▁в,400
▁,385
",",325
1,296
.,287
9,254
▁и,198
▁с,169
0,168
▁по,141
▁на,138
н,137
ли,136
▁«,136
м,129
▁(,125
й,120
2,118
р,109
л,108
6,107
е,106
-,103
т,101
х,94
ла,93
на,92
»,89
с,84
д,83
ло,81
7,79
4,78
ра,77
3,77
ль,74
▁у,73
ре,73
в,73
к,71
▁гондураса,71
▁==,70
▁о,70
▁за,69
и,68
ка,67
▁—,66
▁при,63
ми,63
▁а,61
те,61
ти,61
8,59
ни,59
да,59
),57
я,57
:,57
5,56
▁к,56
ле,54
ю,53
▁со,53
▁года,53
у,52
ст,52
ме,52
▁не,51
не,51
ро,51
го,49
ва,49
o,49
ть,49
ч,48
▁про,47
ки,46
▁из,45
▁от,45
б,44
ви,44
ных,43
ш,43
ри,42
во,42
но,42
▁сальвадора,42
ны,41
по,40
та,40
че,40
о,39
▁вы,39
ру,38
ко,38
▁де,37
▁до,37
e,37
▁гондурас,37
то,36
бо,36
з,36
па,36
ние,35
ё,35
а,35
▁ре,35
a,35
i,35
d,35
ния,34
же,34
де,34
▁году,34
ну,33
u,33
п,32
▁ме,32
ма,32
ж,32
лся,31
ди,31
▁после,31
се,31
гра,31
со,31
г,31
ше,31
▁сальвадор,31
▁б,30
ного,30
▁грант,30
ве,29
"),",29
▁↑,29
са,28
▁нача,28
▁во,28
"»,",28
▁д,28
лись,28
▁пере,27
си,27
▁г,27
t,27
ча,26
▁был,26
тель,26
чи,26
ры,26
це,26
до,26
s,26
▁июля,26
мо,25
ты,25
▁об,25
▁раз,25
n,25
).,24
ный,24
ar,24
▁се,23
▁пре,23
▁го,23
▁были,23
ной,23
ции,23
c,23
га,22
▁что,22
▁од,22
лу,22
би,22
er,22
▁между,22
▁ро,21
ского,21
ная,21
ря,21
▁ко,21
ке,21
ши,21
пе,21
l,21
сте,20
▁э,20
ба,20
».,20
му,20
за,20
сти,20
▁правительство,20
ку,19
▁он,19
ф,19
жи,19
▁p,19
▁ми,19
ные,19
v,19
▁территории,19
вле,18
нно,18
▁ма,18
жа,18
ном,18
▁т,18
▁кино,18
ца,18
▁же,18
он,18
▁===,18
y,18
▁f,18
g,18
ской,17
э,17
вля,17
зо,17
▁м,17
ги,17
сто,17
пи,17
▁под,17
▁ка,17
стве,17
▁но,17
ство,17
▁c,17
m,17
сть,17
фи,17
▁для,17
h,17
▁п,16
▁июня,16
▁место,16
▁его,16
ду,16
бе,16
ний,16
b,16
ще,16
ня,16
▁сальвадором,16
▁где,15
ская,15
лось,15
▁ис,15
▁воз,15
вы,15
ным,15
ских,15
▁рабо,15
▁сво,15
ву,15
хо,15
▁рас,15
рт,15
▁ни,15
f,15
on,15
or,15
▁s,15
ное,14
ён,14
▁как,14
▁е,14
▁бе,14
льной,14
▁карье,14
ся,14
▁два,14
▁также,14
ров,14
лась,14
▁ф,14
том,14
бы,14
▁ста,14
нта,14
ту,14
▁прои,14
гу,14
вер,14
▁a,14
▁ча,14
▁сальвадорцев,14
▁войны,14
▁границы,14
▁мо,13
жение,13
зи,13
▁кото,13
ром,13
сле,13
▁ра,13
▁актёр,13
тиче,13
той,13
ь,13
ша,13
ско,13
ства,13
;,13
ци,13
▁d,13
al,13
англ,13
el,13
ra,13
an,13
▁футбо,13
▁мира,13
▁сборной,13
▁пу,12
▁исто,12
бли,12
ский,12
ника,12
зы,12
вет,12
лы,12
▁гранта,12
▁комеди,12
▁си,12
▁ст,12
▁фильмов,12
льный,12
▁ку,12
рова,12
нию,12
▁га,12
ную,12
▁роль,12
nt,12
щи,12
r,12
▁поло,12
нов,12
▁да,12
▁соста,12
▁заня,12
су,12
▁вое,12
▁сальвадорских,12
об,11
кой,11
дова,11
вя,11
▁время,11
▁ш,11
нного,11
род,11
нима,11
▁хо,11
▁ли,11
▁бо,11
▁з,11
▁че,11
про,11
k,11
ы,11
▁то,11
ёл,11
пы,11
зе,11
▁тре,11
вые,11
ские,11
шения,11
нные,11
p,11
▁гондурасом,11
