token,count
▁,1377
е,594
▁в,431
и,424
а,413
",",382
.,302
1,296
о,286
9,254
▁и,197
т,187
я,184
х,179
▁с,178
0,168
у,159
н,156
ы,142
▁на,137
м,136
▁«,136
й,133
(,125
▁по,123
2,118
»,117
в,110
6,107
р,103
-,103
с,101
з,97
ж,97
д,95
),92
ой,89
п,87
ю,87
б,79
7,79
4,78
3,77
ь,75
—,72
▁гондураса,71
к,69
▁==,68
ом,67
ли,66
▁к,66
▁был,62
ст,61
ш,59
8,59
ов,59
ц,58
ка,57
:,57
5,56
ни,56
ра,55
ого,54
ая,53
▁года,53
ми,53
a,52
l,52
▁за,51
да,51
ся,49
e,49
▁у,48
г,48
▁не,46
де,44
ла,44
ть,44
▁из,43
i,42
▁сальвадора,42
на,41
э,40
ар,40
ч,40
ло,39
ск,38
л,38
ый,37
ен,37
ем,36
o,36
го,36
▁г,35
▁при,35
d,35
▁со,34
щ,34
▁году,34
c,34
▁гондурас,34
).,33
ет,33
▁от,33
ых,33
ле,33
▁м,31
его,31
▁грант,31
▁об,31
y,31
ей,30
↑,30
n,30
ую,29
▁фильм,28
их,28
s,28
▁сальвадорски,28
но,27
ва,27
ё,27
по,27
тр,27
▁он,26
▁до,26
ль,26
▁сборн,26
▁июля,26
гр,25
b,25
▁правительств,25
▁ре,24
ер,24
t,24
▁сальвадор,24
та,23
ий,23
▁вы,23
▁про,23
▁это,23
▁что,22
ок,22
начал,22
ил,22
мо,21
ны,21
▁после,21
g,21
ки,20
▁так,20
▁дл,20
».,20
▁===,20
ев,19
▁ст,19
ча,19
или,19
▁стал,19
m,19
▁между,19
▁территории,19
▁f,18
ar,18
▁которы,17
▁дву,17
би,17
му,17
лен,17
лись,17
/,17
ран,16
▁июня,16
▁место,16
ного,16
англ,16
▁пере,16
▁кино,16
ной,16
лу,16
ения,16
▁раз,16
u,16
ров,16
▁сальвадором,16
как,15
ная,15
ась,15
▁же,15
ди,15
ам,15
вал,15
▁самолёт,15
v,15
▁граждан,15
ф,14
▁карьер,14
ных,14
▁два,14
ами,14
▁p,14
ые,14
ные,14
▁чемпионат,14
▁сальвадорцев,14
▁войны,14
▁границы,14
▁ро,13
са,13
▁но,13
▁сил,13
ор,13
ило,13
сь,13
;,13
er,13
on,13
▁мира,13
мя,12
ал,12
американск,12
▁гранта,12
▁сво,12
ля,12
▁фильмов,12
ход,12
▁те,12
▁роль,12
фи,12
сти,12
ение,12
▁север,12
▁состав,12
w,12
h,12
▁тысяч,12
▁время,11
ном,11
ись,11
▁работ,11
▁бо,11
▁город,11
аль,11
▁одно,11
car,11
▁гондурасом,11
▁военны,11
ник,10
ился,10
▁участи,10
▁годов,10
▁одн,10
▁под,10
нд,10
▁армии,10
▁групп,10
▁is,10
▁кинтаниль,10
▁гол,10
футбольн,10
▁странами,10
▁центрально,10
▁район,10
▁гондурасски,10
▁действи,10
вс,10
лось,9
ённы,9
мен,9
ным,9
▁актёра,9
эри,9
театр,9
▁сша,9
▁нескольк,9
r,9
вши,9
▁кр,9
▁свое,9
вер,9
▁больш,9
следующи,9
▁перв,9
▁все,9
▁de,9
▁th,9
of,9
▁grant,9
p,9
or,9
▁конкакаф,9
▁война,9
против,9
▁страны,9
▁сан,9
▁боле,8
▁бе,8
▁том,8
ания,8
▁год,8
▁годы,8
▁снял,8
▁комеди,8
реди,8
ющих,8
чение,8
золото,8
▁успех,8
мер,8
ство,8
▁продолжал,8
un,8
ним,8
рин,8
▁картин,8
ольк,8
▁без,8
ость,8
тельно,8
ская,8
пе,8
▁котор,8
▁пред,8
▁част,8
ss,8
an,8
▁матч,8
▁конфликт,8
▁футболу,8
▁сальвадорско,8
прав,8
z,8
▁лини,8
▁войска,8
́,7
▁памятник,7
▁того,7
лся,7
тек,7
около,7
меч,7
▁актёрск,7
▁получил,7
нимал,7
▁участием,7
▁пят,7
▁самы,7
▁начало,7
▁стране,7
▁второ,7
пер,7
вос,7
▁фильмы,7
▁бы,7
k,7
ia,7
▁данн,7
▁актёр,7
ёл,7
тера,7
▁ден,7
▁военно,7
бор,7
▁занял,7
it,7
▁стран,7
▁земель,7
экономически,7
▁президент,7
▁боевы,7
▁пушкин,6
бли,6
▁дом,6
ирован,6
▁спис,6
▁драм,6
▁период,6
кон,6
▁романтическ,6
▁национальн,6
оскар,6
▁истории,6
ког,6
смотр,6
▁критиков,6
▁чере,6
▁появ,6
вать,6
ыграл,6
▁ко,6
ках,6
роли,6
вмест,6
питан,6
▁человек,6
▁результат,6
▁сам,6
ладель,6
сел,6
▁рас,6
▁один,6
ации,6
ако,6
▁которых,6
шёл,6
при,6
nt,6
f,6
ch,6
▁pre,6
j,6
ra,6
сайт,6
играл,6
▁чемпион,6
▁матчах,6
▁забил,6
▁вооружённы,6
▁команд,6
▁турнира,6
▁финальн,6
сальвадор,6
▁столкновени,6
стрел,6
